title,genres,keywords,overview
Psycho Beach Party,"Horror, Comedy","killer, summer, friends, beach, diner, confession, revenge, based on play or musical, detective, dancing, psychotronic, malibu, satire, gay interest, spoof, surfer, drag, murder",Chicklet is a sixteen-year old tomboy who's desperate to be part of the in-crowd of Malibu beach surfers. She's the typical American girl - except for one little problem: her personality is split into more slices than a pepperoni pizza.
The Replacements,Comedy,"american football, coach, misfit, sports, strike","Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot."
MVP: Most Valuable Primate,"Family, Comedy",sports,"Jack is a three-year-old chimpanzee who has been the subject of a long-term experiment by Dr. Kendall, a researcher who been teaching Jack to communicate through sign language. Jack scrambles onto the ice in the midst of practice for Steven's junior league hockey team, and he and his teammates discover the monkey has a natural talent for the game."
The Cell,"Thriller, Science Fiction, Horror","sadomasochism, mind game, gore, horse, surrealism, psychopath, fbi, desert, subconscious, drowning, therapist, investigation, virtual reality, serial killer, schizophrenia, california",A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.
The Original Kings of Comedy,"Documentary, Comedy","stand-up comedy, concert, african american comedy, stand-up","The Original Kings of Comedy achieves the seemingly impossible task of capturing the rollicking and sly comedy routines of stand-up and sitcom vets Steve Harvey, D.L. Hughley, Cedric the Entertainer, and Bernie Mac and the magic of experiencing a live concert show. Director Spike Lee and his crew plant a multitude of cameras in a packed stadium and onstage (as well as backstage, as they follow the comedians) to catch the vivid immediacy of the show, which is as much about the audience as it is about the jokes."
Bring It On,Comedy,"cheerleader, teenage girl, plagiarism, routine, teen movie, high school sports, cheering crowd, choreography, florida, rivalry, audition, championship, high school, sports, cheerleading, duringcreditsstinger","The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen."
The Art of War,"Crime, Adventure, Action","conspiracy, action hero, secret agent, united nations, spy, china, martial arts, chinese woman, chinese mafia, new york city","When ruthless terrorists threaten to bring down the United Nations, they frame the one man they believe can stop them: an international security expert named Shaw. Now he must run from his own allies and become a solitary force for good, as he tries to stop what could become World War III."
The Man Who Cried,"Romance, Drama, War, Music","gypsy, singer, 1930s, france, 1920s, dancing, united kingdom, england, woman director",A young refugee travels from Russia to America in search of her lost father and falls in love with a gypsy horseman.
"O Brother, Where Art Thou?","Crime, Adventure, Comedy","music record, seduction, southern usa, country music, mississippi river, fraud, prophecy, based on novel or book","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."
Snatch,"Crime, Comedy","trailer park, gypsy, diamond heist, antwerp, bare knuckle boxing, gambling, pikey, gangster, pig, underground fighting, england, robbery, slang, boxer","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Highlander: Endgame,"Fantasy, Action","dark fantasy, action hero, supernatural power, sword and sorcery, immortality, good versus evil, loss of loved one, sword fight, antiquary, loss of powers, warrior, fictional war, martial arts, new york city","Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?"
Dinner Rush,"Thriller, Drama, Action","chef, gambling, restaurant, new york city","One unlucky evening, Louis Cropa, a part-time bookmaker, discovers that his restaurant has become a hotbed of conflicting characters. In addition to having to please a whiny food critic, Louis must fend off a hostile takeover from a pair of gangsters, to whom his sous-chef is in debt. Further, Louis has an argument with his son, the star chef, whose culinary creativity has brought success to the business."
Men of Honor,Drama,"u.s. navy, diving","Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor."
